age;bmi;plz;secret
65;18.35;9731;1
77;25.45;3543;5
50;22.13;1146;0
44;26.46;6452;1
25;16.54;7510;6
62;16.57;6499;8
38;26.19;7661;2
49;21.97;1740;6
84;27.29;2225;0
48;15.75;9933;4
89;22.22;2333;9
85;17.51;5299;3
20;28.32;7872;7
47;19.9;5009;8
17;28.16;8221;8
16;23.0;6466;7
98;17.93;4663;4
79;21.94;9706;0
91;22.76;1915;10
22;28.98;1473;8
67;16.06;8458;9
67;27.86;4800;3
4;21.17;6620;4
10;15.5;3140;6
99;28.01;8602;3
78;17.98;9391;9
94;13.43;1881;10
95;15.53;3352;6
9;23.43;3685;3
54;10.07;3457;5
71;28.5;5486;2
100;12.35;9822;8
1;24.85;4697;10
94;24.8;7950;6
97;19.07;8016;0
20;17.64;8639;2
4;22.55;1106;10
23;26.92;2922;7
85;18.9;7560;4
19;25.45;1100;1
28;19.92;2334;2
8;20.79;3186;1
38;16.04;5092;7
75;20.84;2329;4
15;10.18;6157;5
67;16.68;8021;1
9;14.51;1005;10
68;11.56;6181;3
10;20.61;6501;0
29;25.43;9397;1
7;21.84;6306;6
16;30.22;1929;1
23;25.09;9160;0
75;28.81;9251;4
20;15.13;9972;2
42;12.53;2239;3
17;29.25;5916;6
35;20.3;5285;7
82;21.95;5967;2
11;24.15;5929;10
76;23.78;1574;2
76;21.54;3809;6
60;11.69;3414;1
78;27.55;8010;4
11;26.45;8404;6
27;22.22;1112;10
87;27.9;6435;5
11;18.36;7520;7
45;13.32;3495;6
11;21.65;9875;8
9;25.95;4145;9
33;16.89;8634;5
26;22.57;6520;7
9;14.71;9111;5
80;14.67;2311;4
31;30.11;1566;2
26;21.56;3408;2
27;16.57;2146;3
79;29.47;2162;4
86;15.72;8752;6
71;30.54;8429;0
99;10.7;7137;1
62;10.25;2873;4
68;26.75;2821;1
51;30.54;8188;5
94;19.69;2616;6
41;14.88;5198;1
59;22.25;6849;1
60;22.92;8028;4
58;15.43;3580;0
9;22.49;2767;6
36;26.47;3400;7
27;20.13;5347;2
54;14.94;2609;4
72;30.3;1545;5
75;17.13;7851;2
65;20.12;2323;5
48;15.69;5520;3
41;13.23;8945;3
32;15.27;4500;0
10;16.94;8544;9
86;11.57;4060;1
26;30.09;6110;8
28;30.06;1967;9
94;16.0;2059;3
16;16.24;7132;4
96;24.6;6849;1
22;16.26;5368;8
91;22.52;6327;7
5;20.26;9052;5
32;24.83;9734;7
86;22.67;8786;5
0;13.64;8589;7
99;18.49;7349;4
49;16.66;9858;9
59;17.13;3520;8
13;30.72;3137;5
78;13.39;2592;2
17;26.53;2753;3
18;28.65;6622;8
4;24.33;2005;6
56;25.47;2761;4
44;25.24;2969;2
16;28.94;6215;6
14;29.38;8561;1
72;16.67;9646;9
57;20.1;9810;7
42;26.16;8104;1
52;29.94;3514;1
27;30.98;9781;6
53;10.03;5737;8
51;24.08;8167;7
92;28.24;1831;3
19;16.9;1422;6
44;24.09;9922;3
5;25.4;3028;2
93;13.36;5061;1
13;14.1;8046;2
64;22.93;2468;7
96;26.55;7524;0
100;29.09;6574;8
16;22.06;1901;4
87;30.65;2791;6
79;14.56;2447;8
84;15.39;9207;6
85;22.82;3076;9
90;24.64;9652;10
73;18.49;6081;8
56;22.18;5817;8
41;21.65;7619;6
36;13.76;5367;10
90;15.89;4015;3
19;28.68;8254;3
15;11.0;1182;3
3;21.53;1654;5
26;19.87;2751;6
92;29.92;3232;2
99;15.21;8703;7
26;26.69;5664;9
70;21.12;4586;9
81;23.06;1622;3
32;16.58;4624;10
95;18.72;9653;3
90;26.56;7288;9
15;29.73;5644;10
90;25.18;3146;0
55;10.76;8823;1
30;16.05;6054;4
25;18.11;6476;7
8;30.01;9015;0
67;20.45;6827;5
79;16.56;2253;9
0;29.24;7774;6
8;30.93;4345;2
75;29.26;4422;8
61;10.49;5452;8
77;13.88;7597;4
61;14.92;2980;3
31;14.66;2796;5
94;24.49;6234;7
8;20.69;6248;3
54;13.11;5882;7
21;23.74;8044;9
63;10.33;5293;2
66;10.95;8516;3
89;18.12;6065;2
55;25.82;5309;3
68;11.35;4319;3
26;24.59;6841;4
87;24.21;2556;10
56;16.41;6087;8
91;15.94;8167;6
80;14.76;3880;7
28;11.73;9893;9
14;26.09;2181;8
26;12.56;6812;8
34;12.66;6984;8
90;12.36;4663;1
41;23.91;1830;2
36;25.82;4586;9
39;24.06;8089;9
30;13.66;2569;0
83;19.6;8483;5
74;18.16;2204;2
96;24.93;7511;2
64;28.42;9533;8
40;18.29;9745;3
24;24.47;8075;5
4;24.78;5162;1
78;24.29;4340;9
43;27.1;7978;7
12;26.36;2394;7
77;19.2;8661;1
50;18.27;2307;5
36;19.2;7062;2
39;17.48;2524;1
5;10.02;8870;5
8;10.41;6500;7
17;12.77;4816;2
73;18.28;9158;8
85;19.7;8329;3
75;19.41;3974;6
82;23.38;4580;7
77;29.98;8774;4
95;26.36;8108;8
75;20.43;2552;9
30;26.34;5462;1
87;21.94;9867;9
37;18.98;2566;5
16;26.76;4648;0
71;23.41;2733;1
23;26.21;9469;7
26;15.35;4523;5
31;10.78;3609;1
94;14.46;2895;8
65;13.53;2458;2
48;11.07;6334;6
0;10.72;7105;7
39;10.62;3901;10
48;23.44;2146;5
58;17.36;7388;6
31;13.67;2053;8
22;15.24;8039;1
21;12.92;4656;8
54;29.92;4502;9
21;24.5;9565;7
81;25.38;8976;3
37;22.07;9583;3
86;23.58;3732;5
69;15.96;9446;2
58;22.15;2457;1
1;16.39;2439;8
46;25.03;4099;8
85;22.68;8718;7
5;23.53;7174;7
42;25.04;2390;7
90;22.3;2711;6
32;11.4;6683;9
39;21.09;1284;6
53;18.68;8763;0
41;15.37;7815;8
79;21.05;5016;4
1;21.13;4098;3
53;20.41;3858;10
22;29.47;1237;0
83;16.07;4400;5
81;11.77;1420;4
13;19.18;7526;8
73;17.56;7752;0
70;30.63;1195;8
39;13.42;7054;1
3;11.31;8050;1
2;19.47;5852;2
67;26.04;6635;8
90;13.27;3967;5
16;12.51;7794;9
9;21.25;8426;4
17;18.03;3067;10
93;25.05;3612;1
93;30.01;8150;3
53;29.15;2856;4
46;22.34;3728;9
96;11.9;2915;5
39;26.2;1264;4
90;11.81;7016;5
22;18.01;4545;4
88;18.53;5419;3
40;10.34;9052;9
51;15.11;2684;7
55;23.14;3484;8
12;19.34;3086;6
62;16.77;2991;2
96;19.22;2866;9
